attempt,phase,signature,slot,conn,t0_ns,t1_ns,t2_ns,t3_ns,sign_ns,send_ns,sign_to_send_ns,send_to_seen_ns,sign_to_seen_ns,landed,err,rpc_poll_count,fee_lamports,t_confirmed_ns,t_finalized_ns
66,warm,2dtdhyABhefVQdFWJwKvMYqtWTAwvV7R7eLv3iMZgM3smGp3vzuJwbBXEtrfkZgHnMkiRzo5e6g9yEbfmqPyrT38,0,1,1218754843810294,1218754843831116,1218754843872197,0,20822,41081,61903,0,0,0,send_fail,0,0,0,0
67,warm,4BDVQKEr7Pbmc4zHJB8qXdQBK8zW9MqZ2LeymYYU43uMDuGFkkydZJCWKi9h5dzPY1UA2Uw2jRdfbbtwwEmTN9FH,0,1,1218755276470147,1218755276488004,1218755276522375,0,17857,34371,52228,0,0,0,send_fail,0,0,0,0
68,warm,2voSADhDHgtqb4L833WqdXb73JyLbsFvnapzPzAgatbPBT4LTk9qn2Fw8kvfbA5USs64dEQ6KZYoe88F5BxHVyXZ,0,1,1218755677561494,1218755677579862,1218755677617208,0,18368,37346,55714,0,0,0,send_fail,0,0,0,0
69,warm,56uRAJh5TLwngPzE97dzsJd5KJMKzoCuC2jWgPh8LsiPuvKx8yA87wZZ4DrDKyCKjunxDAc19zUyR4PuRnKDesz7,0,1,1218756087306107,1218756087323784,1218756087369262,0,17677,45478,63155,0,0,0,send_fail,0,0,0,0
70,warm,2ie5Yw4Q931Q3k4ZsKenj16v6dzN3wtepjgdVsr1ZrTkPfAGZ9UTjEi9wF9zvHKUpAzxZxYkcq8qiLUj68vR11r9,0,1,1218756483151933,1218756483168808,1218756483211282,0,16875,42474,59349,0,0,0,send_fail,0,0,0,0
71,warm,4EqzQQK26fHtDuJcsoj1FS6PB5RmiWUhL2w7YZcndQTsTFX2cDBfyVBZ8ZhfRV1aMLduLcAdKX3P5LtdwcLentpx,0,1,1218756889326779,1218756889344315,1218756889394861,0,17536,50546,68082,0,0,0,send_fail,0,0,0,0
72,warm,5Wqfs2PK5YAnxV6kognVQA4oL4VLXybPisVuiTARL6FHUUsr2xsRzusAyAGPkgefGw4xPtmUPdmDbTbE3UX7fi35,0,1,1218757317272396,1218757317294980,1218757317343673,0,22584,48693,71277,0,0,0,send_fail,0,0,0,0
73,warm,31T1HMuF7hdnhzd1aRyKpSHL6j4efeEpDGDBp6n4Eod512nMz8FMy6bidMmP7K846KAwhNuf7axo6PANfFkNEcwf,0,1,1218757718491816,1218757718508741,1218757718552887,0,16925,44146,61071,0,0,0,send_fail,0,0,0,0
74,warm,42JFLYXAD1R1pMFxZVzjeHUj6xnD5XAXY6dXjha3xVxdqwrNmRbAFsdyC7WUUm6UgZNZFm7mf5QqWVRKE3WwaGw5,0,1,1218758119402512,1218758119419477,1218758119454860,0,16965,35383,52348,0,0,0,send_fail,0,0,0,0
75,warm,nKPSFMH6HZJoWUtCwEnJhuDb8B9UegDftZ6zsVWDuM4mKu2gSoiXQfnRQAa5SsicugTJU4nNr7DdEeBVZxQ98gc,0,1,1218758522898618,1218758522914271,1218758522955463,0,15653,41192,56845,0,0,0,send_fail,0,0,0,0
76,warm,26oV7oqaDEYXbxQ8aTj78MQQcz6VsbVaSBxwXeZCKKnAXy7QStZ3QfxturYKPryRk8D4bdKXZr1Cy7MsPviuAD4f,0,1,1218758922887681,1218758922905217,1218758922953930,0,17536,48713,66249,0,0,0,send_fail,0,0,0,0
77,warm,3QR1XpWRRmdjdRbgNTqtBj6KVrKEWC9joWK2Kv1PPsp84THp3syxZhBSF8uPTQVq8x5MvF9kGUfgGjBdqfcP1xxV,0,1,1218759325459029,1218759325475884,1218759325515694,0,16855,39810,56665,0,0,0,send_fail,0,0,0,0
78,warm,cCY33VJBSmwqJe8vNf4embBLordSmkBRke4JpjXbhahgjwmEGDVEkUi3Kb7RRJfFbB8YtsJLfMuAdEzVnLDydQX,0,1,1218759727501824,1218759727519260,1218759727555895,0,17436,36635,54071,0,0,0,send_fail,0,0,0,0
79,warm,5rizXLh2Ziw2GCfUmUeXpmVoJJt1Z7vwrtEfhan5wqQLtxvGsJzkujNKegtYrxLQUE7nAtuHNLduoPwE9qqWboG8,0,1,1218760119180285,1218760119195918,1218760119242388,0,15633,46470,62103,0,0,0,send_fail,0,0,0,0
80,warm,hai5HEMSwbDeVQQqxsW8m19BwV23AHTxU7cWH8PPbEMd7U34g1kVmbE26wRi3MnssCRNEitSkLXPauJwYwSyYpy,0,1,1218760520746374,1218760520764131,1218760520800826,0,17757,36695,54452,0,0,0,send_fail,0,0,0,0
81,warm,5UAM4P6ZdpLoVPTU6w4GiKengyEP5EJ8UHz2yUPzKD82GLyGSxa8sNrukPV3wNFHSo863seqv5TFfZFSnDqR1dzC,0,1,1218762759626113,1218762759642999,1218762759696609,0,16886,53610,70496,0,0,0,send_fail,0,0,0,0
82,warm,2PwsDRvV8xB4Ho7kk3Sbf6S1jBdiA6AzXGocCXRsjg8xaj6qFzdJQoYvY8cJMX1r1C9Ftn5audEUarCFVEkU7d6S,0,1,1218763161010771,1218763161029509,1218763161075988,0,18738,46479,65217,0,0,0,send_fail,0,0,0,0
83,warm,5T4vggx5KRVXGoxihu7FwCgi2EJjGM2evjygqNbcXukyV2bQPoiKY3XUmmKgD2PPUzPgZ8k8CrVkz4kpjcyZQ2j4,0,1,1218763568622373,1218763568645838,1218763568692328,0,23465,46490,69955,0,0,0,send_fail,0,0,0,0
84,warm,5BH75YohgQNKASwEzMBSZVQkpP1o266epNJiY9Ff6FwWkW2o61ZN1M4wFcWJYTA6NHXKAqgkTp4qLXFNbNJRQZoc,0,1,1218764000507423,1218764000524879,1218764000562475,0,17456,37596,55052,0,0,0,send_fail,0,0,0,0
85,warm,p6rPuVUHJREWZGLdXEEyTwv3c6oMU5BHXSrMj4f6Xwh8t7qNW29niKtqqiRu5igt4C5yDksPF2XM2J4Mkt2ivse,0,1,1218764401739691,1218764401755245,1218764401800412,0,15554,45167,60721,0,0,0,send_fail,0,0,0,0
86,warm,5XBeG2UVh8EffDcNLAXs9nv63mhrrEAPrY4dHbJdoRapvBcaAY8hfThJCeDDx4LnSAUEhpEcMJhmeCoHC7ccTwUx,0,1,1218764795752275,1218764795770182,1218764795815600,0,17907,45418,63325,0,0,0,send_fail,0,0,0,0
87,warm,2E2RMJ88qJvZvsSjFSzKAY5e2XcGCYsxAc2ATYyxidDKG8pjo58eE3cm2kYaBLw2nsFyBG8mVskAS96Wm7yF3dKp,0,1,1218765228302083,1218765228323365,1218765228364106,0,21282,40741,62023,0,0,0,send_fail,0,0,0,0
88,warm,5FvX2EsnKND31Vbv7bpin8uXWZ3rfR8iM5vGJioY4HMdyji8uWTW2eB9NU4M1sbJ6sAdP4LUeqGk4Yx4bo3JVnRP,0,1,1218765628178116,1218765628193058,1218765628237054,0,14942,43996,58938,0,0,0,send_fail,0,0,0,0
89,warm,3Fw9bZf8JeGAZPGovLHnL3NF3jgZ15Zy6XrvHZNGDUywgp5UZb5kxYdjfYEAUM7iWnHTpbvoS6jA6H39zKua7zVh,0,1,1218766038884102,1218766038901919,1218766038932214,0,17817,30295,48112,0,0,0,send_fail,0,0,0,0
90,warm,4VPDofDyR2EMjXrhHfhfCoA7DWVeTUuTU3uEDikDxJZeRkLG5TNgKNt5GGyhXDzsCK5q67LVezPzZg2vBL316qVc,0,1,1218766440324092,1218766440341809,1218766440383582,0,17717,41773,59490,0,0,0,send_fail,0,0,0,0
91,warm,3x5ZuioZgF9wMujpwo5wBfZUdk3jxXJEPkQZLB4eERVbsmx45Y64P5cWo5j2eTVX1WHzwLxtm5X9aj94AGo7F4zb,0,1,1218766841038153,1218766841055950,1218766841110231,0,17797,54281,72078,0,0,0,send_fail,0,0,0,0
92,warm,t1TUsRYxB5EbzmdkVj55rp1A8uG72z3WvNbw2qm5onbzThAirRLiXjiU8DEYmSFsgjJD1hTRuKKsqSniCgKHygF,0,1,1218767241524172,1218767241553035,1218767241594638,0,28863,41603,70466,0,0,0,send_fail,0,0,0,0
